,dist,climb,time,timef,type
0,2.0,2000,0.40361111111111103,0.518888888888889,uphill
1,2.0,650,0.254444444444444,0.316666666666667,other
2,3.0,750,0.4858333333333329,0.3891666666666671,other
3,21.0,4100,2.3997222222222203,3.09333333333333,relay
4,6.0,2500,0.782222222222222,0.919166666666667,hill
5,7.0,1800,0.793333333333333,1.00333333333333,hill
6,1.5,1400,0.31444444444444397,0.3766666666666671,hill
7,5.0,700,0.4641666666666671,0.609166666666667,hill
8,6.0,900,0.546111111111111,0.625833333333333,hill
9,5.0,1200,0.623333333333333,0.734166666666667,hill
10,4.0,1300,0.45888888888888896,0.543611111111111,hill
11,10.5,3500,1.2788888888888899,1.48777777777778,hill
12,4.5,800,0.40944444444444394,0.47777777777777797,other
13,3.0,1000,0.3375,0.38138888888888894,uphill
14,30.5,8000,4.469722222222219,5.52333333333333,marathon
15,3.5,800,0.39555555555555605,0.4641666666666671,hill
16,7.5,800,0.738055555555555,0.9972222222222221,relay
17,14.0,5000,1.98333333333333,2.39888888888889,hill
18,5.0,1250,0.552777777777778,0.637777777777778,hill
19,9.0,3192,1.03777777777778,1.19916666666667,hill
20,4.0,800,0.387222222222222,0.4525,hill
21,8.0,2866,1.22777777777778,1.52638888888889,hill
22,3.5,1250,0.43111111111111106,0.54,hill
23,7.0,600,0.6788888888888891,0.8372222222222221,hill
24,12.0,4000,1.7216666666666698,1.98777777777778,other
25,16.0,7500,3.11638888888889,3.83944444444444,other
26,5.0,800,0.4958333333333329,0.579166666666667,hill
27,5.5,800,0.618333333333333,,hill
28,46.0,7500,8.30694444444445,13.547777777777801,hill
29,6.0,1400,0.7397222222222221,0.874166666666667,hill
30,4.5,2200,0.563888888888889,0.670555555555556,other
31,6.5,650,0.623888888888889,0.7486111111111109,hill
32,8.0,2500,1.19305555555556,1.4511111111111101,hill
33,2.5,1400,0.3816666666666671,0.484722222222222,hill
34,13.0,5500,2.22027777777778,2.7047222222222205,hill
35,95.0,9200,15.4388888888889,18.8791666666667,other
36,14.0,2200,1.54444444444444,1.8066666666666698,other
37,10.0,2000,1.19805555555556,1.44972222222222,hill
38,4.5,1500,0.427222222222222,0.507777777777778,other
39,28.0,2100,3.18638888888889,3.7527777777777795,other
40,6.0,1500,0.7422222222222221,0.8702777777777779,hill
41,6.0,900,0.5727777777777779,0.695,hill
42,6.0,2000,0.638333333333333,0.7736111111111109,hill
43,9.0,2950,1.32777777777778,1.78277777777778,hill
44,4.0,600,0.447777777777778,0.532222222222222,hill
45,4.5,2400,0.7447222222222221,0.9361111111111109,hill
46,6.0,1400,0.7738888888888891,1.015,hill
47,5.5,728,0.508888888888889,0.768333333333333,hill
48,3.5,1500,0.465,0.609722222222222,hill
49,5.0,1200,0.794166666666667,1.03083333333333,other
50,2.0,900,0.284722222222222,0.360555555555556,hill
51,2.0,900,0.29416666666666696,0.47305555555555606,hill
52,6.0,2500,0.794166666666667,1.05194444444444,hill
53,14.0,4900,1.97611111111111,2.3558333333333303,hill
54,7.0,500,0.716666666666667,0.943333333333333,hill
55,3.0,1223,0.46388888888888896,0.601666666666667,hill
56,15.0,5500,2.5672222222222203,2.9622222222222203,hill
57,2.5,800,0.208611111111111,0.24666666666666698,hill
58,5.5,741,0.563611111111111,0.7241666666666671,hill
59,6.0,1220,0.6658333333333329,0.8177777777777779,hill
60,9.0,2200,1.05305555555556,1.2938888888888898,hill
61,2.25,500,0.23222222222222197,0.298888888888889,hill
62,10.0,4400,1.4261111111111102,1.72361111111111,hill
63,4.0,2000,0.40777777777777796,,other
64,2.0,1500,0.332222222222222,0.43694444444444397,hill
65,6.0,1400,0.704444444444444,0.8097222222222221,hill
66,16.0,2250,1.66472222222222,1.96333333333333,hill
67,5.0,1700,0.609166666666667,0.7858333333333329,hill
68,8.0,2710,1.13333333333333,1.39472222222222,hill
69,18.0,4900,2.5658333333333303,3.0883333333333303,hill
70,10.0,2300,1.18444444444444,1.4975,hill
71,16.0,6200,2.3777777777777795,2.785,hill
72,4.5,1500,0.49944444444444397,0.581111111111111,hill
73,6.5,1000,0.7511111111111108,0.9722222222222221,other
74,3.6,650,0.35805555555555607,0.4425,relay
75,2.5,2000,0.387222222222222,0.518888888888889,uphill
76,2.0,650,0.254444444444444,0.316666666666667,other
